name,total_revenue
Aarav Shah,183194.15
Priya Nair,82694.1
Ravi Kumar,75701.25
Sneha Patel,172247.1
Karan Mehta,123345.05
Divya Menon,63097.4
Arjun Reddy,122133.2
Meera Iyer,136798.1
Rohit Gupta,13398.1
Ananya Das,187345.1
Vikram Singh,153596.2
Kavya Pillai,6206.1
Suresh Rao,140146.15
Nisha Agarwal,133198.15
Deepa Krishnan,19197.1
Amit Sharma,119995.1
Pooja Verma,101244.2
Nikhil Joshi,112244.05
Lakshmi Bhat,85715.2
Rajesh Tiwari,101748.15
Sana Khan,13195.0
Aakash Jain,107605.2
Ritu Desai,151096.25
Mohit Yadav,72897.25
Preethi Nair,200694.2
Harsh Gupta,26998.2
Simran Kaur,58797.0
Tarun Mehta,185248.1
Usha Reddy,72346.1
Vinay Kumar,111098.15
